millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
71507	17253.10	18484.62	0.00	0.00	1.50	125.00	1	2	2	1	0	0	0	794	944	3043	0	125	0	2	0.16	0.00	1.50	125.00	1
71522	17267.37	18489.38	0.00	0.00	1.50	125.00	1	1	0	0	0	0	0	861	959	3026	0	125	0	2	0.16	0.00	1.50	125.00	1
71537	17280.45	18492.94	0.00	0.00	1.50	125.00	1	1	1	1	0	0	0	868	965	3026	0	125	0	2	0.16	0.00	1.50	125.00	1
71552	17294.71	18497.70	0.00	0.00	1.50	125.00	1	1	1	0	0	0	1	866	957	3024	0	125	0	2	0.16	0.00	1.50	125.00	1
71567	17308.97	18502.45	0.00	0.00	1.50	125.00	1	4	3	1	0	0	2	870	946	3020	0	125	0	2	0.16	0.00	1.50	125.00	1
71582	17323.24	18506.02	0.00	0.00	1.50	125.00	1	2	1	0	0	0	753	862	919	2565	125	0	0	2	0.16	0.00	1.50	125.00	1
71597	17336.31	18511.96	0.00	0.00	1.50	125.00	1	3	3	1	0	0	896	876	955	2521	0	125	0	2	0.16	0.00	1.50	125.00	1
71612	17350.58	18516.71	0.00	0.00	1.50	125.00	1	4	4	2	1	1	916	868	961	2516	0	125	0	2	0.16	0.00	1.50	125.00	1
71627	17364.84	18521.47	0.00	0.00	1.50	125.00	1	3	1	1	0	0	898	879	900	2500	0	125	0	2	0.16	0.00	1.50	125.00	1
71642	17379.11	18526.22	0.00	0.00	1.50	125.00	1	3	3	1	0	0	905	880	13	1992	125	0	0	2	0.16	0.00	1.50	125.00	1
71657	17392.19	18532.17	0.00	0.00	1.50	125.00	1	3	2	1	0	171	893	887	1	1866	25	125	0	2	0.16	0.00	1.50	125.00	1
71672	17405.26	18538.11	0.00	0.00	1.50	125.00	1	5	4	2	0	455	897	897	0	1696	118	125	0	2	0.16	0.00	1.50	125.00	1
71688	17420.71	18545.24	0.00	0.00	1.50	125.00	1	3	3	0	0	716	938	846	0	1552	101	125	0	2	0.16	0.00	1.50	125.00	1
71703	17433.79	18551.19	0.00	0.00	1.50	125.00	1	4	3	0	0	760	928	860	0	1539	0	125	0	2	0.16	0.00	1.50	125.00	1
71718	17448.05	18557.13	0.00	0.00	1.50	125.00	1	3	3	1	0	829	905	865	0	1513	0	125	0	2	0.16	0.00	1.50	125.00	1
71733	17462.32	18564.26	0.00	0.00	1.50	125.00	1	4	3	1	0	855	916	815	0	1484	0	125	0	2	0.16	0.00	1.50	125.00	1
71748	17475.39	18570.21	0.00	0.00	1.50	125.00	1	2	2	1	0	843	917	2	0	1021	125	0	0	2	0.16	0.00	1.50	125.00	1
