millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
42902	2161.10	2145.64	0.00	0.00	0.00	120.00	1	994	993	0	0	0	0	0	0	-3001	120	0	0	1	0.27	0.00	0.00	120.00	1
42918	2167.04	2156.34	0.00	0.00	0.00	120.00	1	1000	1000	12	1	0	0	0	0	-3000	120	0	0	1	0.27	0.00	0.00	120.00	1
42933	2172.98	2164.66	0.00	0.00	0.00	120.00	1	913	972	983	0	0	0	0	0	-2476	120	0	0	1	0.27	0.00	0.00	120.00	1
42948	2177.74	2174.17	0.00	0.00	0.00	120.00	1	2	1000	996	0	0	0	0	0	-2002	120	0	0	1	0.27	0.00	0.00	120.00	1
42963	2182.49	2183.68	0.00	0.00	0.00	120.00	1	0	980	998	5	0	0	0	0	-1996	120	0	0	1	0.27	0.00	0.00	120.00	1
42978	2187.25	2194.38	0.00	0.00	0.00	120.00	1	0	60	987	993	0	0	0	0	-1043	120	0	0	1	0.27	0.00	0.00	120.00	1
42993	2190.81	2203.89	0.00	0.00	0.00	120.00	1	0	0	985	981	3	0	0	0	-1002	120	0	0	1	0.27	0.00	0.00	120.00	1
43008	2195.57	2213.40	0.00	0.00	0.00	120.00	1	0	0	1	978	962	0	0	0	-5	120	119	0	1	0.27	0.00	0.00	120.00	1
43023	2200.32	2224.10	0.00	0.00	0.00	120.00	1	0	0	0	941	959	896	0	0	483	0	120	0	1	0.27	0.00	0.00	120.00	1
43038	2205.08	2232.42	0.00	0.00	0.00	120.00	1	1	0	0	0	969	967	1	0	999	0	120	0	1	0.27	0.00	0.00	120.00	1
43053	2211.02	2241.93	0.00	0.00	0.00	120.00	1	1	0	0	0	851	990	1000	0	1552	0	120	0	1	0.27	0.00	0.00	120.00	1
43068	2216.97	2250.25	0.00	0.00	0.00	120.00	1	0	0	0	0	0	947	999	0	2013	0	120	0	1	0.27	0.00	0.00	120.00	1
43083	2222.91	2257.38	0.00	0.00	0.00	120.00	1	0	0	0	0	0	971	1000	21	2007	0	120	0	1	0.27	0.00	0.00	120.00	1
43098	2230.04	2264.51	0.00	0.00	0.00	120.00	1	0	0	0	0	0	966	1000	985	2506	0	120	0	2	0.27	0.00	0.00	120.00	1
