millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
52726	15926.49	16800.20	0.00	0.00	1.50	125.00	1	958	2	1	2	3	4	5	5	-3500	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52742	15926.49	16808.52	0.00	0.00	1.50	125.00	1	946	823	2	2	1	3	5	4	-3035	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52747	15926.49	16810.90	0.00	0.00	1.50	125.00	1	1000	969	3	3	2	4	5	5	-3008	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52763	15926.49	16820.41	0.00	0.00	1.50	125.00	1	986	992	690	3	2	4	6	5	-2611	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52768	15926.49	16822.79	0.00	0.00	1.50	125.00	1	738	960	978	3	3	5	8	8	-2411	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52783	15926.49	16832.30	0.00	0.00	1.50	125.00	1	2	968	967	405	1	3	5	6	-1741	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52788	15927.68	16834.67	0.00	0.00	1.50	125.00	1	2	771	1000	954	3	4	6	8	-1433	108	125	0	1	0.30	0.010000	1.500000	125.000000	1
52804	15928.87	16844.18	0.00	0.00	1.50	125.00	1	2	4	964	1000	118	4	8	9	-907	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52819	15931.25	16851.32	0.00	0.00	1.50	125.00	1	2	2	5	972	1000	4	5	7	7	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52824	15932.43	16853.69	0.00	0.00	1.50	125.00	1	2	2	4	974	1000	7	8	8	6	125	125	0	1	0.30	0.010000	1.500000	125.000000	1
52840	15934.81	16862.02	0.00	0.00	1.50	125.00	1	1	1	1	924	960	720	4	3	421	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52845	15936.00	16864.39	0.00	0.00	1.50	125.00	1	0	1	1	769	992	927	4	3	558	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52860	15939.57	16871.53	0.00	0.00	1.50	125.00	1	3	3	3	6	1000	992	11	8	997	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52865	15941.94	16873.90	0.00	0.00	1.50	125.00	1	3	3	4	4	981	994	13	8	1003	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52881	15946.70	16879.85	0.00	0.00	1.50	125.00	1	3	3	4	4	984	1000	17	7	1004	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52886	15947.89	16882.22	0.00	0.00	1.50	125.00	1	3	4	4	5	985	969	30	8	995	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52901	15953.83	16888.17	0.00	0.00	1.50	125.00	1	2	4	3	5	989	1000	10	3	1002	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52907	15956.21	16889.36	0.00	0.00	1.50	125.00	1	2	5	4	5	970	964	11	4	998	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52922	15962.15	16895.30	0.00	0.00	1.50	125.00	1	1	2	3	4	994	989	4	3	998	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52927	15964.53	16896.49	0.00	0.00	1.50	125.00	1	1	3	3	7	981	984	4	2	1000	0	125	0	1	0.30	0.010000	1.500000	125.000000	1
52943	15971.66	16901.24	0.00	0.00	1.50	125.00	1	2	3	2	841	1000	915	1	1	526	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52948	15974.04	16903.62	0.00	0.00	1.50	125.00	1	1	1	1	930	1000	669	0	0	399	125	59	0	1	0.30	0.010000	1.500000	125.000000	1
52964	15979.98	16908.38	0.00	0.00	1.50	125.00	1	1	1	1	951	944	2	1	1	-2	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52969	15982.36	16910.75	0.00	0.00	1.50	125.00	1	1	2	2	950	928	1	0	1	-6	125	118	0	1	0.30	0.010000	1.500000	125.000000	1
52984	15989.49	16915.51	0.00	0.00	1.50	125.00	1	0	0	173	968	1000	0	0	1	-114	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
52990	15991.87	16917.88	0.00	0.00	1.50	125.00	1	0	0	622	948	961	0	0	0	-367	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53005	15996.63	16923.83	0.00	0.00	1.50	125.00	1	0	1	969	988	683	0	0	0	-609	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53020	16003.76	16930.96	0.00	0.00	1.50	125.00	1	0	0	936	979	14	0	0	0	-989	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53026	16004.95	16933.34	0.00	0.00	1.50	125.00	1	0	0	925	916	5	0	0	0	-1003	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53041	16010.89	16940.47	0.00	0.00	1.50	125.00	1	0	1	983	969	5	1	1	2	-1004	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53046	16012.08	16942.85	0.00	0.00	1.50	125.00	1	0	1	952	979	4	1	0	2	-994	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53061	16016.83	16949.98	0.00	0.00	1.50	125.00	1	0	1	975	982	9	1	3	4	-999	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53067	16018.02	16952.36	0.00	0.00	1.50	125.00	1	0	1	974	986	12	1	3	4	-997	125	0	0	1	0.30	0.010000	1.500000	125.000000	1
53082	16022.78	16960.68	0.00	0.00	1.50	125.00	1	0	1	966	975	349	0	1	3	-770	24	125	0	1	0.30	0.010000	1.500000	125.000000	1
53087	16025.16	16963.06	0.00	0.00	1.50	125.00	1	0	1	984	984	592	1	3	4	-654	125	97	0	1	0.30	0.010000	1.500000	125.000000	1
53103	16029.91	16971.38	0.00	0.00	1.50	125.00	1	1	0	951	979	938	1	2	4	-505	59	125	0	1	0.30	0.010000	1.500000	125.000000	1
53118	16035.85	16979.70	0.00	0.00	1.50	125.00	1	2	1	858	939	994	1	4	5	-452	125	65	0	1	0.30	0.010000	1.500000	125.000000	1
