millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
37126	8791.78	9109.17	0.00	0.00	1.06	125.00	1	9	8	8	964	979	7	0	1	3	125	0	0	2	0.12	0.010000	1.059049	125.000000	1
37131	8795.35	9110.36	0.00	0.00	1.06	125.00	1	11	10	877	970	981	2	0	2	-464	125	0	0	2	0.12	0.010000	1.059049	125.000000	1
37147	8808.43	9115.12	0.00	0.00	1.06	125.00	1	9	994	1000	594	2	1	3	4	-1655	125	0	0	2	0.12	0.010000	1.059049	125.000000	1
37152	8811.99	9116.31	0.00	0.00	1.06	125.00	1	640	1000	1000	12	7	10	16	14	-2364	125	0	0	2	0.12	0.010000	1.059049	125.000000	1
37168	8823.88	9122.25	0.00	0.00	1.06	125.00	1	1000	985	8	4	5	6	8	7	-3004	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37173	8827.45	9124.63	0.00	0.00	1.06	125.00	1	992	174	1	0	1	1	1	3	-3351	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37189	8838.14	9130.57	0.00	0.00	1.06	125.00	1	14	7	7	5	6	7	6	5	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37194	8841.71	9132.95	0.00	0.00	1.06	125.00	1	2	1	2	2	2	1	1	2	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37209	8850.03	9140.08	0.00	0.00	1.06	125.00	1	3	5	5	4	5	5	7	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37214	8852.41	9143.65	0.00	0.00	1.06	125.00	1	8	9	10	6	8	9	11	10	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37230	8859.54	9150.78	0.00	0.00	1.06	125.00	1	5	7	5	4	3	4	4	5	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37235	8861.92	9153.16	0.00	0.00	1.06	125.00	1	3	3	3	1	1	2	1	1	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37250	8866.67	9162.67	0.00	0.00	1.06	125.00	1	9	8	6	4	3	3	2	3	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37255	8869.05	9165.04	0.00	0.00	1.06	125.00	1	8	8	6	3	3	3	2	3	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37271	8872.62	9174.55	0.00	0.00	1.06	125.00	1	9	8	6	4	4	6	4	6	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37276	8873.81	9176.93	0.00	0.00	1.06	125.00	1	9	9	8	4	4	6	6	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37292	8876.18	9186.44	0.00	0.00	1.06	125.00	1	5	4	3	1	1	2	2	3	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37297	8877.37	9190.01	0.00	0.00	1.06	125.00	1	13	12	9	5	7	8	8	8	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37312	8878.56	9199.52	0.00	0.00	1.06	125.00	1	5	3	2	0	0	1	2	1	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37318	8878.56	9203.08	0.00	0.00	1.06	125.00	1	1	1	1	0	0	0	0	1	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37333	8878.56	9212.59	0.00	0.00	1.06	125.00	1	10	9	9	5	6	9	11	9	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37338	8878.56	9216.16	0.00	0.00	1.06	125.00	1	8	10	8	6	7	10	12	11	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37353	8878.56	9225.67	0.00	0.00	1.06	125.00	1	6	6	6	4	6	7	9	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37359	8878.56	9229.23	0.00	0.00	1.06	125.00	1	8	8	7	5	8	9	11	9	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37374	8878.56	9238.74	0.00	0.00	1.06	125.00	1	326	10	8	6	8	11	16	11	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37379	8878.56	9242.31	0.00	0.00	1.06	125.00	1	929	7	5	3	5	7	10	8	-3500	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37395	8878.56	9251.82	0.00	0.00	1.06	125.00	1	1000	492	4	4	3	6	8	8	-3171	125	62	0	1	0.12	0.010000	1.059049	125.000000	1
37400	8878.56	9255.39	0.00	0.00	1.06	125.00	1	1000	953	5	3	3	6	8	8	-3013	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37415	8878.56	9264.90	0.00	0.00	1.06	125.00	1	1000	997	578	2	2	4	7	8	-2664	102	125	0	1	0.12	0.010000	1.059049	125.000000	1
37420	8879.75	9268.46	0.00	0.00	1.06	125.00	1	842	996	975	1	2	3	5	7	-2453	125	31	0	1	0.12	0.010000	1.059049	125.000000	1
37436	8879.75	9279.16	0.00	0.00	1.06	125.00	1	4	1000	1000	476	1	2	5	7	-1712	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37441	8879.75	9281.54	0.00	0.00	1.06	125.00	1	4	775	977	933	2	3	7	10	-1442	27	125	0	1	0.12	0.010000	1.059049	125.000000	1
37456	8882.13	9291.05	0.00	0.00	1.06	125.00	1	3	3	979	937	94	1	1	4	-941	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37472	8884.50	9299.37	0.00	0.00	1.06	125.00	1	1	0	29	930	970	0	0	1	10	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37477	8885.69	9302.93	0.00	0.00	1.06	125.00	1	2	2	3	995	949	1	0	2	-12	125	101	0	1	0.12	0.010000	1.059049	125.000000	1
37493	8890.45	9311.26	0.00	0.00	1.06	125.00	1	0	0	0	897	994	14	0	0	25	83	125	0	1	0.12	0.010000	1.059049	125.000000	1
37498	8891.64	9314.82	0.00	0.00	1.06	125.00	1	0	0	0	922	954	483	0	0	313	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37513	8896.39	9321.95	0.00	0.00	1.06	125.00	1	3	3	1	410	955	975	1	0	741	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37518	8897.58	9324.33	0.00	0.00	1.06	125.00	1	3	2	1	122	961	998	1	1	920	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37534	8903.52	9331.46	0.00	0.00	1.06	125.00	1	0	0	0	0	942	985	0	0	1011	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37539	8904.71	9333.84	0.00	0.00	1.06	125.00	1	0	0	0	0	947	952	0	0	1001	6	125	0	1	0.12	0.010000	1.059049	125.000000	1
37554	8911.85	9339.79	0.00	0.00	1.06	125.00	1	0	0	0	14	958	1000	3	1	1010	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37559	8914.22	9342.16	0.00	0.00	1.06	125.00	1	0	0	0	75	969	1000	1	1	952	63	125	0	1	0.12	0.010000	1.059049	125.000000	1
37575	8920.17	9349.29	0.00	0.00	1.06	125.00	1	0	0	0	867	1000	918	0	1	518	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37580	8922.54	9351.67	0.00	0.00	1.06	125.00	1	0	0	0	912	979	783	0	0	451	125	113	0	1	0.12	0.010000	1.059049	125.000000	1
37595	8929.68	9357.62	0.00	0.00	1.06	125.00	1	1	0	0	948	955	8	0	1	1	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37601	8932.05	9359.99	0.00	0.00	1.06	125.00	1	1	0	1	910	937	3	0	1	7	118	125	0	1	0.12	0.010000	1.059049	125.000000	1
37616	8940.38	9367.13	0.00	0.00	1.06	125.00	1	3	3	6	924	1000	2	1	4	19	110	125	0	1	0.12	0.010000	1.059049	125.000000	1
37621	8942.75	9369.50	0.00	0.00	1.06	125.00	1	3	2	27	954	994	1	0	3	10	125	117	0	1	0.12	0.010000	1.059049	125.000000	1
37637	8949.88	9376.64	0.00	0.00	1.06	125.00	1	1	1	916	935	958	0	0	1	-486	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37642	8952.26	9379.01	0.00	0.00	1.06	125.00	1	3	3	969	945	757	0	1	3	-580	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37657	8959.39	9386.15	0.00	0.00	1.06	125.00	1	4	4	967	939	7	1	2	6	-1008	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37662	8961.77	9389.71	0.00	0.00	1.06	125.00	1	3	5	989	952	4	1	2	4	-1010	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37678	8968.90	9398.03	0.00	0.00	1.06	125.00	1	228	18	946	968	3	3	4	3	-1261	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37683	8971.28	9400.41	0.00	0.00	1.06	125.00	1	992	258	981	937	2	3	3	3	-1912	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37699	8977.22	9409.92	0.00	0.00	1.06	125.00	1	956	1000	995	927	3	3	2	1	-2012	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37704	8979.60	9413.49	0.00	0.00	1.06	125.00	1	1000	1000	948	910	3	3	2	2	-2042	125	0	0	1	0.12	0.010000	1.059049	125.000000	1
37719	8985.55	9421.81	0.00	0.00	1.06	125.00	1	247	960	995	914	0	2	3	3	-1674	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37725	8987.92	9425.37	0.00	0.00	1.06	125.00	1	17	237	925	940	4	4	6	4	-1166	0	125	0	1	0.12	0.010000	1.059049	125.000000	1
37740	8995.06	9433.69	0.00	0.00	1.06	125.00	1	17	11	10	6	7	8	12	12	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37755	8999.81	9443.20	0.00	0.00	1.06	125.00	1	12	8	4	2	3	3	4	6	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37761	9002.19	9446.77	0.00	0.00	1.06	125.00	1	17	11	7	4	6	7	10	11	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37776	9006.94	9456.28	0.00	0.00	1.06	125.00	1	14	11	7	4	4	6	7	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37781	9008.13	9458.66	0.00	0.00	1.06	125.00	1	12	10	6	4	4	5	7	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37796	9011.70	9469.36	0.00	0.00	1.06	125.00	1	34	25	17	9	9	13	19	19	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37802	9012.89	9471.73	0.00	0.00	1.06	125.00	1	12	11	8	4	3	4	6	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37817	9015.26	9482.43	0.00	0.00	1.06	125.00	1	11	11	9	5	5	4	6	6	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37822	9015.26	9484.81	0.00	0.00	1.06	125.00	1	11	12	10	6	7	6	7	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37838	9016.45	9495.51	0.00	0.00	1.06	125.00	1	7	6	6	4	4	4	3	2	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37843	9016.45	9499.07	0.00	0.00	1.06	125.00	1	8	8	8	5	6	8	7	3	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37858	9016.45	9509.77	0.00	0.00	1.06	125.00	1	9	8	8	5	7	12	19	10	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37863	9016.45	9513.34	0.00	0.00	1.06	125.00	1	10	8	7	5	8	11	19	12	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37879	9015.26	9522.85	0.00	0.00	1.06	125.00	1	3	3	1	0	0	2	4	6	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37884	9015.26	9527.60	0.00	0.00	1.06	125.00	1	3	3	2	1	1	3	7	8	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37900	9014.08	9537.11	0.00	0.00	1.06	125.00	1	3	3	3	1	0	1	2	4	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37905	9014.08	9541.87	0.00	0.00	1.06	125.00	1	4	3	2	1	3	1	2	4	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37920	9014.08	9551.38	0.00	0.00	1.06	125.00	1	4	3	2	0	3	2	3	3	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37925	9012.89	9554.94	0.00	0.00	1.06	125.00	1	4	3	0	0	2	3	4	4	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37941	9012.89	9565.64	0.00	0.00	1.06	125.00	1	11	9	3	1	1	6	11	10	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37946	9011.70	9569.21	0.00	0.00	1.06	125.00	1	10	9	3	1	1	4	10	11	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37961	9011.70	9579.91	0.00	0.00	1.06	125.00	1	11	8	3	1	0	1	6	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37966	9011.70	9583.47	0.00	0.00	1.06	125.00	1	13	10	6	2	2	1	7	9	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37982	9010.51	9594.17	0.00	0.00	1.06	125.00	1	18	14	9	4	3	3	5	11	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
37987	9010.51	9597.74	0.00	0.00	1.06	125.00	1	18	15	10	4	3	4	7	11	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
38002	9009.32	9608.44	0.00	0.00	1.06	125.00	1	11	16	12	6	5	4	6	7	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
38008	9009.32	9612.00	0.00	0.00	1.06	125.00	1	10	15	13	5	4	3	3	4	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
38023	9008.13	9622.70	0.00	0.00	1.06	125.00	1	11	9	10	8	7	6	5	4	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
38028	9008.13	9626.27	0.00	0.00	1.06	125.00	1	12	9	9	9	8	8	7	5	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
38044	9006.94	9636.97	0.00	0.00	1.06	125.00	1	13	14	11	5	9	12	13	9	-3500	125	0	1	1	0.12	0.010000	1.059049	125.000000	1
